flight_id,attack_type,dataset
1320,takeover_step,train
1321,none,train
1323,drift_sigmoid,train
1324,none,train
5,none,val
15,none,val
20,none,val
23,none,val
59,none,val
68,none,val
78,none,val
93,takeover_step,val
94,none,val
96,none,val
100,none,val
105,none,val
106,none,val
108,none,val
110,none,val
112,none,val
117,none,val
128,none,val
136,none,val
137,none,val
147,takeover_step,val
151,none,val
155,none,val
162,delay,val
165,none,val
168,none,val
177,none,val
178,none,val
179,none,val
180,none,val
182,none,val
187,none,val
189,none,val
190,drift_sigmoid,val
205,none,val
212,none,val
216,none,val
217,none,val
221,none,val
223,none,val
231,none,val
235,none,val
239,none,val
243,delay,val
246,none,val
254,none,val
256,none,val
257,none,val
262,none,val
272,none,val
288,takeover_ramp,val
293,none,val
307,none,val
316,none,val
326,delay,val
328,none,val
334,none,val
338,none,val
339,none,val
342,none,val
355,none,val
358,none,val
372,none,val
375,none,val
384,none,val
391,none,val
393,none,val
395,none,val
406,none,val
411,none,val
412,none,val
419,none,val
420,none,val
424,none,val
427,none,val
440,none,val
443,none,val
467,none,val
470,takeover_ramp,val
478,none,val
487,none,val
488,none,val
497,none,val
502,none,val
505,none,val
514,step,val
517,step,val
541,none,val
544,none,val
547,none,val
551,none,val
558,none,val
560,none,val
567,drift_sigmoid,val
569,none,val
571,none,val
576,none,val
582,none,val
583,none,val
586,none,val
588,none,val
592,takeover_step,val
608,none,val
615,none,val
617,none,val
626,none,val
630,none,val
640,none,val
642,none,val
645,none,val
647,none,val
651,none,val
672,none,val
674,none,val
675,none,val
677,drift_ramp,val
678,none,val
682,none,val
687,none,val
690,none,val
696,none,val
704,none,val
706,none,val
708,none,val
709,none,val
724,none,val
726,none,val
727,none,val
729,drift_ramp,val
733,none,val
735,none,val
745,none,val
755,none,val
756,none,val
760,none,val
761,drift_sigmoid,val
762,none,val
767,none,val
768,none,val
774,none,val
797,none,val
804,none,val
805,none,val
811,none,val
815,none,val
821,none,val
824,none,val
828,none,val
829,none,val
832,none,val
839,none,val
844,takeover_step,val
853,none,val
855,takeover_ramp,val
857,none,val
860,none,val
861,step,val
863,none,val
870,step,val
872,none,val
879,none,val
881,none,val
888,none,val
890,none,val
893,none,val
895,none,val
898,none,val
899,none,val
900,none,val
901,drift_ramp,val
904,none,val
908,none,val
919,none,val
924,none,val
930,none,val
933,none,val
937,none,val
939,none,val
945,none,val
947,none,val
960,none,val
973,none,val
979,none,val
986,none,val
991,none,val
998,none,val
1003,none,val
1005,none,val
1006,none,val
1012,none,val
1013,step,val
1021,none,val
1024,none,val
1029,none,val
1030,none,val
1035,none,val
1038,none,val
1039,none,val
1044,none,val
1047,none,val
1053,none,val
1057,none,val
1059,none,val
1062,none,val
1067,none,val
1070,takeover_ramp,val
1073,none,val
1081,none,val
1093,none,val
1098,none,val
1101,none,val
1108,none,val
1110,none,val
1111,none,val
1114,none,val
1121,none,val
1126,none,val
1128,none,val
1133,drift_sigmoid,val
1134,none,val
1136,none,val
1137,none,val
1160,none,val
1165,none,val
1172,none,val
1173,none,val
1181,none,val
1187,none,val
1190,delay,val
1196,none,val
1204,none,val
1212,none,val
1228,none,val
1231,none,val
1243,none,val
1244,none,val
1248,none,val
1258,none,val
1265,drift_ramp,val
1266,none,val
1270,none,val
1274,none,val
1281,none,val
1294,none,val
1295,none,val
1297,none,val
1298,none,val
1301,none,val
1308,none,val
1322,none,val
2,none,test
10,none,test
17,none,test
18,none,test
76,none,test
77,none,test
82,none,test
92,none,test
95,none,test
98,none,test
113,none,test
124,none,test
149,none,test
153,none,test
157,none,test
160,takeover_ramp,test
166,none,test
175,none,test
184,none,test
185,none,test
193,none,test
197,none,test
206,none,test
209,none,test
213,none,test
214,none,test
215,none,test
224,none,test
225,none,test
230,none,test
252,none,test
253,none,test
255,none,test
264,none,test
269,none,test
270,step,test
271,none,test
276,none,test
277,none,test
278,none,test
287,none,test
290,none,test
296,none,test
300,none,test
301,none,test
312,none,test
317,none,test
323,none,test
324,none,test
333,none,test
340,none,test
347,none,test
350,none,test
353,none,test
354,none,test
359,none,test
364,none,test
366,none,test
386,none,test
388,none,test
401,none,test
408,none,test
414,none,test
416,none,test
435,none,test
445,none,test
449,delay,test
450,none,test
455,none,test
456,none,test
458,none,test
462,none,test
463,none,test
468,none,test
471,none,test
472,none,test
473,none,test
474,none,test
477,none,test
489,none,test
508,drift_ramp,test
512,none,test
523,none,test
526,none,test
530,none,test
534,none,test
537,none,test
540,none,test
543,none,test
545,none,test
555,none,test
559,none,test
563,none,test
573,none,test
579,none,test
580,none,test
581,none,test
591,none,test
595,none,test
611,none,test
621,none,test
627,none,test
633,none,test
634,none,test
635,none,test
636,none,test
648,none,test
657,none,test
663,none,test
671,none,test
679,none,test
683,none,test
694,none,test
698,none,test
703,none,test
710,takeover_ramp,test
711,none,test
712,none,test
713,none,test
716,none,test
717,none,test
718,none,test
719,none,test
730,none,test
734,none,test
740,none,test
752,none,test
754,drift_ramp,test
757,none,test
758,none,test
769,none,test
770,none,test
773,none,test
780,none,test
790,none,test
796,none,test
800,none,test
813,none,test
818,none,test
819,none,test
820,none,test
822,none,test
834,none,test
837,none,test
840,none,test
846,none,test
847,none,test
850,none,test
862,none,test
865,none,test
866,none,test
868,none,test
871,step,test
875,none,test
876,none,test
886,none,test
892,takeover_step,test
902,none,test
906,none,test
911,none,test
925,none,test
927,none,test
931,none,test
934,none,test
941,none,test
942,none,test
948,none,test
949,none,test
951,none,test
953,none,test
954,none,test
962,none,test
967,none,test
968,none,test
984,none,test
999,none,test
1000,none,test
1022,none,test
1025,none,test
1026,none,test
1027,none,test
1028,none,test
1031,none,test
1043,takeover_step,test
1046,none,test
1052,none,test
1066,none,test
1083,none,test
1085,none,test
1087,none,test
1088,none,test
1091,none,test
1092,none,test
1096,none,test
1099,none,test
1109,none,test
1115,none,test
1118,none,test
1122,none,test
1127,none,test
1130,drift_sigmoid,test
1135,none,test
1142,none,test
1147,none,test
1148,none,test
1153,none,test
1156,none,test
1157,none,test
1162,delay,test
1166,none,test
1167,none,test
1175,none,test
1179,none,test
1180,none,test
1182,none,test
1194,none,test
1197,none,test
1198,none,test
1200,none,test
1201,none,test
1207,none,test
1208,none,test
1215,none,test
1216,none,test
1219,none,test
1220,none,test
1223,none,test
1225,none,test
1226,none,test
1229,none,test
1233,none,test
1242,none,test
1246,drift_sigmoid,test
1249,none,test
1250,none,test
1251,none,test
1254,none,test
1255,none,test
1256,none,test
1261,none,test
1264,none,test
1271,none,test
1286,none,test
1289,none,test
1292,none,test
1293,none,test
1302,none,test
1303,none,test
1305,none,test
1306,none,test
1309,none,test
1313,none,test
